GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME,BTTRA,AMAXE001,AMAXE002,AMAXE003,AMAXE004,AMAXE005,AMAXE006,AMAXE007,AMAXE008,AMAXE009,AMAXE010,AMAXE011,AMAXE012,AMAXE013,AMAXE014,AMAXE015,AMAXE016,AMAXE017,AMAXE018,AMAXE019,AMAXE020,AMAXE021,AMAXE022,AMAXE023,AMAXE024,AMAXE025,AMAXE026,AMAXE027,AMAXE028,AMAXE029,AMAXE030,AMAXE031,AMAXE032,AMAXE033,AMAXE034,AMAXE035,AMAXE036,AMAXE037,AMAXE038,AMAXE039,AMAXE040,AMAXE041,AMAXE042,AMAXE043,AMAXE044,AMAXE045,AMAXE046,AMAXE047,AMAXE048,AMAXE049,AMAXE050,AMAXE051,AMAXE052,AMAXE053,AMAXE054,AMAXE055,AMAXE056,AMAXE057
"G0100010","2015-2019","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001","Autauga County, Alabama",,53555,25972,5541,107,1836,1460,1065,269,336,240,228,806,40,179,141,164,99,125,8,50,19625,625,138,53,0,308,1347,3218,13936,27583,5558,42,1417,1542,1057,448,397,317,338,1226,176,147,337,193,85,117,58,113,20799,402,97,67,95,29,1248,3215,15646
"G0100030","2015-2019","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",,206601,100342,17946,765,4230,6632,3261,802,838,860,558,4276,609,1080,916,867,243,259,181,121,78120,1420,273,165,176,1194,4448,10809,59635,106259,18616,204,4876,5465,3062,1684,1322,796,1207,4349,672,1191,850,801,177,285,197,176,83294,1790,408,234,59,505,3726,11099,65473
"G0100050","2015-2019","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005","Barbour County, Alabama",,24524,13004,2361,94,626,653,411,191,169,108,109,368,12,63,100,55,0,0,41,97,10275,173,36,17,4,66,772,2084,7123,11520,2183,70,753,587,349,139,138,58,89,238,11,76,16,95,2,0,17,21,9099,152,68,49,0,100,513,1334,6883
"G0100070","2015-2019","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007","Bibb County, Alabama",,21842,11737,1861,4,636,611,462,61,42,25,20,204,5,26,17,129,24,0,0,3,9672,279,12,0,9,155,582,2060,6575,10105,1766,18,461,501,327,84,161,152,62,275,111,80,3,38,18,9,0,16,8064,247,4,0,0,93,465,1039,6216
"G0100090","2015-2019","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009","Blount County, Alabama",,56026,27615,5631,168,1519,1867,1116,285,386,165,125,595,52,168,161,21,28,14,21,130,21389,650,47,64,114,414,1268,3191,15641,28411,5240,58,1300,1727,956,303,498,182,216,636,60,178,108,64,92,25,57,52,22535,789,378,107,62,167,1021,3223,16788
"G0100110","2015-2019","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011","Bullock County, Alabama",,9949,5432,1066,43,383,162,125,283,9,18,43,166,0,0,0,46,0,0,0,120,4200,78,0,54,61,19,326,800,2862,4517,734,80,173,293,162,0,5,3,18,81,0,11,38,0,23,0,0,9,3702,42,71,7,0,95,259,450,2778
"G0100130","2015-2019","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013","Butler County, Alabama",,19118,8865,1803,55,543,516,382,101,140,20,46,310,29,127,101,29,0,14,0,10,6752,158,31,11,7,121,413,1093,4918,10253,1693,62,521,443,332,118,83,44,90,233,3,42,100,42,33,0,0,13,8327,132,28,32,19,88,443,1182,6403
"G0100150","2015-2019","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",,110653,53087,11991,415,2936,3365,2161,1085,1091,507,431,1352,186,280,250,303,80,85,32,136,39744,599,240,7,4,472,2537,6850,29035,57566,11938,396,2578,3045,1774,1297,1429,902,517,1697,205,512,396,175,33,204,83,89,43931,842,73,86,159,204,2041,6755,33771
"G0100170","2015-2019","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017","Chambers County, Alabama",,32303,15378,2854,97,817,838,553,91,234,104,120,368,68,58,89,59,16,59,19,0,12156,123,72,11,16,187,855,1944,8948,16925,3129,113,640,981,464,183,387,117,244,456,41,94,75,99,5,51,50,41,13340,244,114,32,10,133,605,1894,10308
"G0100190","2015-2019","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019","Cherokee County, Alabama",,25068,12264,2224,3,630,712,483,149,105,37,105,98,0,54,16,6,11,11,0,0,9942,140,4,22,31,108,617,1189,7831,12804,2554,73,663,656,542,159,234,130,97,185,9,65,72,26,7,6,0,0,10065,127,38,11,27,49,328,1139,8346
"G0100210","2015-2019","AL",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021","Chilton County, Alabama",,42567,20724,4470,99,1348,1244,999,301,229,122,128,286,20,129,72,65,0,0,0,0,15968,372,151,0,29,173,1071,2690,11482,21843,4827,200,1468,1201,864,229,372,125,368,387,48,70,116,37,0,28,70,18,16629,532,59,24,0,197,774,2775,12268
"G0100230","2015-2019","AL",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01023","Choctaw County, Alabama",,12520,5964,910,0,219,334,201,67,73,2,14,319,13,70,57,93,61,0,6,19,4735,124,35,38,0,33,259,596,3650,6556,908,49,226,271,122,72,100,63,5,340,50,55,62,81,72,20,0,0,5308,38,23,37,0,42,194,609,4365
"G0100250","2015-2019","AL",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01025","Clarke County, Alabama",,23438,11150,2199,199,605,633,379,152,102,62,67,419,97,68,136,75,0,9,8,26,8532,133,7,19,42,125,633,1180,6393,12288,2388,92,468,644,475,195,245,87,182,293,26,94,106,36,10,14,0,7,9607,140,78,35,10,85,501,1274,7484
"G0100270","2015-2019","AL",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01027","Clay County, Alabama",,12945,6239,1075,0,266,429,151,173,20,0,36,222,0,71,41,82,0,28,0,0,4942,129,38,0,14,9,308,676,3768,6706,1336,56,261,446,156,182,120,23,92,165,0,41,54,48,0,0,22,0,5205,103,0,0,0,41,219,782,4060
"G0100290","2015-2019","AL",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01029","Cleburne County, Alabama",,14460,7054,1377,71,474,353,306,113,45,14,1,146,15,21,61,13,0,2,2,32,5531,97,45,0,0,52,325,888,4124,7406,1445,57,497,391,256,74,135,1,34,241,89,68,29,9,0,10,36,0,5720,64,11,0,0,53,243,816,4533
"G0100310","2015-2019","AL",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01031","Coffee County, Alabama",,49912,24662,5558,326,1334,1788,1048,447,194,115,306,661,112,124,195,17,22,16,11,164,18443,419,64,33,34,171,1280,3262,13180,25250,5694,191,1444,1470,948,273,524,442,402,589,60,214,107,44,48,13,47,56,18967,349,126,41,21,153,969,2732,14576
"G0100330","2015-2019","AL",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01033","Colbert County, Alabama",,52730,25152,4555,98,1266,1549,969,267,243,64,99,477,24,105,117,62,43,105,8,13,20120,447,106,45,11,264,1227,3275,14745,27578,5065,116,1598,1221,824,352,458,282,214,613,106,129,111,116,30,46,31,44,21900,307,90,42,53,117,1107,2928,17256
"G0100350","2015-2019","AL",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01035","Conecuh County, Alabama",,12089,5988,1256,0,503,303,136,145,28,107,34,110,4,4,37,12,3,0,0,50,4622,289,25,0,31,60,341,628,3248,6101,942,0,240,304,229,36,24,2,107,159,0,9,4,52,34,13,14,33,5000,102,15,0,0,127,146,589,4021
"G0100370","2015-2019","AL",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01037","Coosa County, Alabama",,10581,5359,808,12,236,328,125,81,0,17,9,122,0,14,39,49,8,0,0,12,4429,56,0,0,22,73,225,566,3487,5222,658,0,168,252,124,25,38,0,51,86,0,22,46,12,0,0,0,6,4478,120,0,0,0,54,193,506,3605
"G0100390","2015-2019","AL",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01039","Covington County, Alabama",,35929,17364,3646,66,1305,964,652,239,248,62,110,218,54,26,57,23,32,0,0,26,13500,363,52,11,17,97,790,2031,10139,18565,3664,106,990,1081,723,215,186,146,217,154,50,20,11,16,8,29,18,2,14747,255,33,17,0,121,748,2106,11467
"G0100410","2015-2019","AL",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01041","Crenshaw County, Alabama",,13415,6583,1257,2,340,458,289,127,20,21,0,122,13,40,41,7,0,0,14,7,5204,233,0,22,12,41,334,828,3734,6832,1459,44,439,383,192,72,208,86,35,100,6,18,11,41,9,7,8,0,5273,61,15,0,10,31,199,713,4244
"G0100430","2015-2019","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",,80113,39604,7579,234,1814,2617,1509,491,615,130,169,856,136,231,187,107,28,66,31,70,31169,953,218,186,47,373,1655,5129,22608,40509,7936,291,1922,2480,1386,606,615,365,271,796,78,261,162,114,41,42,34,64,31777,683,211,41,97,186,1704,4639,24216
"G0100450","2015-2019","AL",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01045","Dale County, Alabama",,47314,23233,5060,237,1582,1257,953,278,327,263,163,347,18,91,122,21,28,0,7,60,17826,297,154,20,14,231,1480,3384,12246,24081,5267,182,1408,1372,786,349,435,468,267,499,66,43,131,115,22,14,62,46,18315,468,35,42,8,180,1039,2962,13581
"G0100470","2015-2019","AL",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01047","Dallas County, Alabama",,37576,17325,4176,264,1383,1114,666,361,161,133,94,554,20,93,87,115,38,26,19,156,12595,204,1,0,88,166,905,1930,9301,20251,4145,98,1218,970,660,410,399,185,205,709,126,147,173,124,26,0,69,44,15397,108,56,78,63,133,895,2235,11829
"G0100490","2015-2019","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",,68831,34028,7512,163,1942,2647,1463,530,378,277,112,810,95,257,157,135,39,121,0,6,25706,694,143,0,62,319,1634,3966,18888,34803,7534,207,2163,2155,1342,507,606,331,223,789,7,131,325,145,66,0,69,46,26480,615,96,50,37,206,1404,3841,20231
"G0100510","2015-2019","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",,78277,37854,7294,176,2074,1976,1348,530,596,295,299,1951,158,409,574,246,102,15,256,191,28609,680,84,85,49,387,1939,4913,20472,40423,6843,141,1810,1930,1207,323,594,445,393,1975,211,368,543,361,120,59,150,163,31605,504,184,176,68,428,1729,5406,23110
"G0100530","2015-2019","AL",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01053","Escambia County, Alabama",,35718,18091,3389,125,1133,970,622,242,207,48,42,336,0,68,205,22,0,3,0,38,14366,193,2,1,48,121,949,2765,10287,17627,3538,38,777,1234,635,239,272,240,103,405,3,196,95,52,18,18,5,18,13684,405,7,72,46,146,695,1947,10366
"G0100550","2015-2019","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",,99547,47983,10129,460,3106,2650,1730,671,947,289,276,970,133,150,176,281,88,76,38,28,36884,877,99,18,46,394,2142,5688,27620,51564,10117,254,2176,3021,1785,806,1037,359,679,985,136,234,243,108,84,48,74,58,40462,855,338,17,75,234,2020,5800,31123
"G0100570","2015-2019","AL",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01057","Fayette County, Alabama",,15979,7885,1698,84,491,481,323,147,115,50,7,171,45,35,65,2,8,0,0,16,6016,93,41,0,0,34,385,860,4603,8094,1569,85,282,482,282,161,156,86,35,150,11,27,59,8,0,9,23,13,6375,43,26,0,0,31,262,902,5111
"G0100590","2015-2019","AL",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01059","Franklin County, Alabama",,30147,15001,3433,178,748,1374,614,166,227,77,49,150,31,44,8,8,7,34,2,16,11418,216,44,22,53,128,895,2206,7854,15146,3506,43,1043,950,641,214,363,85,167,94,14,12,24,22,0,13,0,9,11546,418,30,9,19,76,673,1701,8620
"G0100610","2015-2019","AL",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01061","Geneva County, Alabama",,25437,12390,2518,83,814,680,497,114,176,88,66,370,25,71,97,40,30,0,103,4,9502,172,14,13,2,140,538,1225,7398,13047,2618,52,765,796,467,161,152,112,113,202,3,52,35,28,15,0,42,27,10227,125,0,0,7,143,470,1357,8125
"G0100630","2015-2019","AL",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01063","Greene County, Alabama",,8015,3653,558,139,176,159,39,0,19,17,9,152,18,0,96,0,5,33,0,0,2943,3,7,55,0,1,266,559,2052,4362,808,0,305,75,252,41,48,81,6,181,72,29,0,39,0,41,0,0,3373,37,40,34,0,0,193,345,2724
"G0100650","2015-2019","AL",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01065","Hale County, Alabama",,14234,6757,1633,153,446,355,304,173,74,84,44,150,15,55,41,16,23,0,0,0,4974,83,57,0,8,169,325,665,3667,7477,1523,37,278,473,213,44,183,56,239,287,33,55,80,14,26,19,55,5,5667,88,8,13,54,95,303,770,4336
"G0100670","2015-2019","AL",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01067","Henry County, Alabama",,16688,8126,1633,100,345,640,210,145,114,53,26,274,42,39,44,117,0,24,0,8,6219,120,12,8,28,136,287,791,4837,8562,1330,19,382,385,203,43,144,46,108,350,27,87,79,94,8,1,5,49,6882,136,22,10,2,87,380,741,5504
"G0100690","2015-2019","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",,101084,48284,10433,402,2689,3343,1813,589,769,458,370,1839,175,380,499,358,121,86,114,106,36012,851,118,12,36,412,2114,5974,26495,52800,10434,430,2705,2766,1776,637,840,800,480,2036,189,412,524,300,65,178,199,169,40330,736,146,13,62,365,1974,6100,30934
"G0100710","2015-2019","AL",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01071","Jackson County, Alabama",,50201,24537,4513,136,1392,1459,862,271,184,108,101,489,62,130,48,127,64,8,44,6,19535,487,151,14,11,194,1195,2890,14593,25664,4546,52,1377,1318,939,300,287,120,153,348,49,48,105,59,7,8,25,47,20770,319,55,102,29,199,1154,2737,16175
"G0100730","2015-2019","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",,634517,299209,67434,2490,18047,18911,11082,4339,6614,3343,2608,11577,2511,2096,2000,1006,1082,1331,882,669,220198,3793,1232,405,432,2663,12890,41491,157292,335308,69502,1926,16700,18023,10575,5303,8114,4777,4084,15305,2726,2801,2105,1397,1229,1896,1551,1600,250501,3911,1095,365,385,1724,11575,43491,187955
"G0100750","2015-2019","AL",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01075","Lamar County, Alabama",,13403,6533,1419,4,350,451,288,98,73,60,95,83,0,20,21,3,32,7,0,0,5031,142,65,0,0,36,299,618,3871,6870,1404,63,345,490,245,135,61,32,33,73,5,21,21,8,18,0,0,0,5393,26,0,0,0,2,237,746,4382
"G0100770","2015-2019","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",,89623,42753,9836,179,2238,2410,1375,925,1888,602,219,1119,121,304,163,216,168,138,9,0,31798,408,159,68,54,255,1724,5079,24051,46870,10009,309,1938,2332,1346,1306,1887,452,439,1020,93,298,202,241,55,93,21,17,35841,742,76,34,70,109,2093,4932,27785
"G0100790","2015-2019","AL",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01079","Lawrence County, Alabama",,32141,15416,3334,67,946,989,589,294,172,131,146,218,6,55,57,0,0,27,73,0,11864,217,72,0,3,130,597,1787,9058,16725,3525,134,744,1214,552,206,441,126,108,130,18,35,9,29,0,0,30,9,13070,420,81,4,25,126,568,1827,10019
"G0100810","2015-2019","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",,155608,76609,24933,313,4092,4289,2630,3209,7454,2329,617,3221,601,547,600,312,159,515,178,309,48455,1123,247,91,31,350,3514,9013,34086,78999,24581,755,3599,4279,2199,3249,6880,2448,1172,3220,390,659,368,348,280,689,347,139,51198,801,305,119,146,452,2958,8740,37677
"G0100830","2015-2019","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",,91921,45896,9632,266,2611,2268,1762,808,866,763,288,1979,228,399,617,252,106,25,135,217,34285,704,176,80,46,157,1741,5669,25712,46025,9457,89,1976,3134,1740,720,843,426,529,1601,268,277,464,319,38,65,121,49,34967,856,231,14,0,255,1578,5454,26579
"G0100850","2015-2019","AL",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01085","Lowndes County, Alabama",,9765,4641,897,122,249,268,153,25,26,40,14,199,8,12,36,116,6,12,0,9,3545,53,0,0,1,56,232,611,2592,5124,972,19,308,257,121,33,97,95,42,126,0,15,92,0,3,7,0,9,4026,97,3,0,27,18,231,568,3082
"G0100870","2015-2019","AL",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01087","Macon County, Alabama",,18204,8354,1457,79,479,355,288,59,139,23,35,971,6,30,24,4,340,530,13,24,5926,98,37,7,31,93,354,941,4365,9850,1210,97,312,331,176,37,85,72,100,1618,4,23,16,20,580,885,90,0,7022,46,100,110,71,92,233,910,5460
"G0100890","2015-2019","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",,349642,170124,38984,1019,8840,9304,5902,3517,5941,2333,2128,7962,933,1886,2053,1042,444,517,394,693,123178,2063,373,139,195,1152,6087,22636,90533,179518,39430,1248,8092,9190,5877,3341,5613,3545,2524,8645,1039,1884,1764,904,811,865,516,862,131443,2314,734,114,144,857,5684,21012,100584
"G0100910","2015-2019","AL",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01091","Marengo County, Alabama",,18557,8815,1876,29,763,463,350,176,29,5,61,330,22,107,67,49,39,30,0,16,6609,31,25,1,3,65,554,983,4947,9742,2072,35,510,573,341,202,153,165,93,227,3,26,101,38,19,9,0,31,7443,85,0,17,0,119,431,881,5910
"G0100930","2015-2019","AL",,,"Alabama","01","Marion County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01093","Marion County, Alabama",,29136,14439,2762,151,722,871,553,186,142,74,63,291,12,45,84,51,33,57,2,7,11386,269,114,71,29,129,671,1552,8551,14697,2680,53,606,882,513,252,210,109,55,166,81,0,10,0,2,26,36,11,11851,256,136,0,35,86,526,1505,9307
"G0100950","2015-2019","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",,91821,45300,11216,451,2892,3619,1960,908,652,468,266,512,116,144,122,42,14,7,39,28,33572,850,116,2,76,285,2266,5480,24497,46521,11115,522,2834,3219,1831,719,862,465,663,478,68,77,68,77,27,42,1,118,34928,786,145,12,36,267,1752,5249,26681
"G0100970","2015-2019","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",,398080,189381,39509,1669,10219,11451,6935,3128,3644,1528,935,8902,943,1917,2711,1412,435,743,403,338,140970,2968,683,371,202,1423,9226,25520,100577,208699,42203,1650,10246,11135,6848,2977,4434,3188,1725,9412,1028,2238,1872,1165,733,1140,499,737,157084,2910,807,218,179,1335,8247,26599,116789
"G0100990","2015-2019","AL",,,"Alabama","01","Monroe County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01099","Monroe County, Alabama",,20379,9647,1975,15,675,588,422,133,136,3,3,229,47,27,81,22,17,11,20,4,7443,77,51,20,20,68,551,1015,5641,10732,1703,42,459,649,369,89,56,23,16,169,5,70,4,22,31,9,0,28,8860,58,82,0,52,285,418,1216,6749
"G0101010","2015-2019","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",,217941,102115,21075,513,5706,5595,3185,1853,2203,1227,793,6784,676,1464,1703,1072,389,624,490,366,74256,1634,211,126,179,1131,5189,14097,51689,115826,23646,821,6241,5212,3131,1651,3568,1886,1136,6932,845,1129,1628,973,537,589,709,522,85248,1857,280,56,203,768,4429,14500,63155
"G0101030","2015-2019","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",,114752,56498,11951,551,3646,3026,2189,849,999,451,240,1599,209,477,442,228,83,73,49,38,42948,731,187,86,78,421,2418,6947,32080,58254,11263,236,3271,3084,2089,725,812,456,590,1911,296,482,417,289,138,108,21,160,45080,697,85,53,57,326,2416,6683,34763
"G0101050","2015-2019","AL",,,"Alabama","01","Perry County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01105","Perry County, Alabama",,9201,4171,1345,69,111,356,210,428,171,0,0,104,0,10,19,43,8,5,0,19,2722,13,0,21,0,63,130,310,2185,5030,1000,177,16,475,99,119,67,11,36,388,0,44,61,43,73,167,0,0,3642,133,0,15,0,84,88,483,2839
"G0101070","2015-2019","AL",,,"Alabama","01","Pickens County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01107","Pickens County, Alabama",,19562,9268,1648,72,432,513,370,78,73,103,7,241,14,104,99,19,0,0,3,2,7379,122,4,6,0,111,654,991,5491,10294,1635,53,385,434,239,138,149,127,110,506,57,126,119,124,10,8,18,44,8153,58,0,0,0,82,414,1274,6325
"G0101090","2015-2019","AL",,,"Alabama","01","Pike County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01109","Pike County, Alabama",,32331,15521,4709,121,921,758,361,662,1619,138,129,524,155,109,69,105,14,56,0,16,10288,221,26,7,40,77,1087,1940,6890,16810,5470,5,727,627,460,1056,2120,320,155,569,168,182,125,32,5,57,0,0,10771,154,21,51,23,67,745,1535,8175
"G0101110","2015-2019","AL",,,"Alabama","01","Randolph County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01111","Randolph County, Alabama",,21817,10654,2103,55,633,550,443,206,132,67,17,310,14,58,90,53,8,70,0,17,8241,211,30,29,22,42,485,1112,6310,11163,1985,32,509,545,293,247,218,73,68,312,20,40,110,62,0,61,15,4,8866,155,104,8,0,120,386,1115,6978
"G0101130","2015-2019","AL",,,"Alabama","01","Russell County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01113","Russell County, Alabama",,55298,26502,6108,108,1832,1539,937,476,367,410,439,973,138,266,160,57,0,50,64,238,19421,467,103,57,101,230,1308,3779,13376,28796,6521,336,1897,1527,869,268,431,564,629,1033,82,143,153,163,12,84,138,258,21242,373,120,21,66,150,1487,3690,15335
"G0101150","2015-2019","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",,84891,42478,8417,183,2585,2679,1718,397,169,488,198,1047,123,403,155,110,32,61,92,71,33014,719,120,132,33,392,2342,5219,24057,42413,8326,337,2284,2640,1269,492,615,409,280,857,98,60,282,215,56,74,29,43,33230,613,84,23,78,345,1549,5153,25385
"G0101170","2015-2019","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",,206021,99596,22682,438,5519,7024,4043,1615,2008,1135,900,4524,928,1035,791,611,288,307,347,217,72390,1049,257,99,90,679,3644,11262,55310,106425,22840,421,5409,6053,3830,2005,2469,1572,1081,5613,895,1321,911,669,183,587,535,512,77972,1299,346,128,48,417,3178,11449,61107
"G0101190","2015-2019","AL",,,"Alabama","01","Sumter County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01119","Sumter County, Alabama",,12373,5637,1905,74,345,208,283,327,512,146,10,137,0,36,34,0,67,0,0,0,3595,14,2,28,7,122,201,361,2860,6736,1729,175,336,257,95,153,469,137,107,172,0,17,15,51,0,85,4,0,4835,28,16,25,0,159,144,888,3575
"G0101210","2015-2019","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",,77589,37415,7547,260,2189,2211,1494,420,468,199,306,1067,91,142,212,151,21,310,31,109,28801,471,57,0,0,459,1777,4589,21448,40174,8551,137,2335,2295,1340,647,864,443,490,674,28,84,108,173,79,52,57,93,30949,481,136,3,61,274,1766,4545,23683
"G0101230","2015-2019","AL",,,"Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01123","Tallapoosa County, Alabama",,39466,18994,3638,165,1324,894,575,263,258,102,57,200,28,37,42,41,6,0,0,46,15156,425,12,18,139,316,1087,1844,11315,20472,3954,190,1135,1008,700,151,303,348,119,479,122,95,56,23,0,54,62,67,16039,252,95,16,2,111,856,1958,12749
"G0101250","2015-2019","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",,199985,96182,27128,919,4962,5524,3204,4087,5775,2016,641,2494,397,696,372,372,89,346,66,156,66560,1231,496,150,107,571,5861,13145,44999,103803,28140,397,5131,4858,2976,6658,5143,1991,986,3233,401,656,598,547,414,128,171,318,72430,1737,353,175,39,593,4966,13188,51379
