GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME,BTTRA,AMAXE001,AMAXE002,AMAXE003,AMAXE004,AMAXE005,AMAXE006,AMAXE007,AMAXE008,AMAXE009,AMAXE010,AMAXE011,AMAXE012,AMAXE013,AMAXE014,AMAXE015,AMAXE016,AMAXE017,AMAXE018,AMAXE019,AMAXE020,AMAXE021,AMAXE022,AMAXE023,AMAXE024,AMAXE025,AMAXE026,AMAXE027,AMAXE028,AMAXE029,AMAXE030,AMAXE031,AMAXE032,AMAXE033,AMAXE034,AMAXE035,AMAXE036,AMAXE037,AMAXE038,AMAXE039,AMAXE040,AMAXE041,AMAXE042,AMAXE043,AMAXE044,AMAXE045,AMAXE046,AMAXE047,AMAXE048,AMAXE049,AMAXE050,AMAXE051,AMAXE052,AMAXE053,AMAXE054,AMAXE055,AMAXE056,AMAXE057
"G1901230","2015-2019","IA",,,"Iowa","19","Mahaska County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19123","Mahaska County, Iowa",,21310,10725,2133,97,657,668,407,124,81,82,17,802,37,90,137,66,130,279,27,36,7790,227,10,3,3,87,293,1255,5912,10585,2151,120,683,499,364,189,90,86,120,532,8,113,81,32,42,116,22,118,7902,128,16,16,0,52,421,1181,6088
"G1901250","2015-2019","IA",,,"Iowa","19","Marion County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19125","Marion County, Iowa",,32215,16073,3037,181,920,917,610,245,84,36,44,1357,21,163,208,124,345,399,38,59,11679,301,21,45,0,56,707,1793,8756,16142,2821,70,830,1010,608,100,127,40,36,1238,11,158,147,61,308,395,36,122,12083,328,22,28,3,107,575,1741,9279
"G1901270","2015-2019","IA",,,"Iowa","19","Marshall County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19127","Marshall County, Iowa",,38315,19458,4210,133,1378,1412,798,229,78,65,117,368,30,74,102,8,6,74,32,42,14880,386,43,46,14,286,1232,2323,10550,18857,4192,95,1273,1304,731,284,201,192,112,356,23,89,57,23,5,20,72,67,14309,343,7,18,28,144,844,2019,10906
"G1901290","2015-2019","IA",,,"Iowa","19","Mills County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19129","Mills County, Iowa",,14655,7342,1609,107,483,489,275,138,88,12,17,190,14,60,23,49,0,41,3,0,5543,121,13,2,3,25,285,685,4409,7313,1661,81,437,494,299,140,100,38,72,232,64,45,37,8,0,20,30,28,5420,52,11,30,21,14,259,658,4375
"G1901310","2015-2019","IA",,,"Iowa","19","Mitchell County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19131","Mitchell County, Iowa",,10314,5074,992,47,297,304,178,85,34,9,38,145,28,63,25,10,0,13,0,6,3937,76,40,20,38,35,267,521,2940,5240,950,33,263,283,180,75,56,13,47,199,13,53,36,27,3,44,6,17,4091,116,18,10,32,26,222,489,3178
"G1901330","2015-2019","IA",,,"Iowa","19","Monona County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19133","Monona County, Iowa",,8450,4058,839,52,194,307,151,59,18,26,32,29,0,0,0,18,5,1,0,5,3190,34,5,0,0,22,210,454,2465,4392,820,59,235,221,135,55,24,37,54,93,8,3,45,13,0,17,0,7,3479,18,8,0,0,14,168,415,2856
"G1901350","2015-2019","IA",,,"Iowa","19","Monroe County","135",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19135","Monroe County, Iowa",,7507,3713,790,40,289,198,167,49,32,15,0,43,0,16,8,0,11,8,0,0,2880,8,2,20,8,36,179,400,2227,3794,678,18,129,356,128,14,19,5,9,49,0,16,0,12,0,2,0,19,3067,72,12,24,17,51,195,379,2317
"G1901370","2015-2019","IA",,,"Iowa","19","Montgomery County","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19137","Montgomery County, Iowa",,9661,4674,927,44,274,327,232,19,17,13,1,30,9,13,3,5,0,0,0,0,3717,39,10,6,8,60,274,459,2861,4987,1001,34,274,310,197,104,29,18,35,63,7,21,2,0,0,0,26,7,3923,79,2,13,0,21,242,434,3132
"G1901390","2015-2019","IA",,,"Iowa","19","Muscatine County","139",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19139","Muscatine County, Iowa",,41413,20539,4659,264,1466,1247,836,342,216,136,152,348,79,58,109,2,0,47,0,53,15532,259,193,31,32,185,1080,2602,11150,20874,5099,324,1339,1456,977,339,272,174,218,297,29,60,54,8,9,28,75,34,15478,299,39,63,0,109,927,2426,11615
"G1901410","2015-2019","IA",,,"Iowa","19","O'Brien County","141",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19141","O'Brien County, Iowa",,13243,6586,1168,20,334,419,250,92,33,15,5,271,11,60,136,32,2,1,5,24,5147,89,4,1,1,53,337,782,3880,6657,1236,80,412,306,229,54,52,62,41,312,21,119,61,32,22,3,12,42,5109,52,18,0,0,47,282,643,4067
