GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME,BTTRA,BTBGA,ALW1E001
"G1900490","2015-2019","IA",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19049","Dallas County, Iowa",,,88479
"G1900510","2015-2019","IA",,,"Iowa","19","Davis County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19051","Davis County, Iowa",,,63404
"G1900530","2015-2019","IA",,,"Iowa","19","Decatur County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19053","Decatur County, Iowa",,,44462
"G1900550","2015-2019","IA",,,"Iowa","19","Delaware County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19055","Delaware County, Iowa",,,63750
"G1900570","2015-2019","IA",,,"Iowa","19","Des Moines County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19057","Des Moines County, Iowa",,,51267
"G1900590","2015-2019","IA",,,"Iowa","19","Dickinson County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19059","Dickinson County, Iowa",,,59969
"G1900610","2015-2019","IA",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19061","Dubuque County, Iowa",,,63031
"G1900630","2015-2019","IA",,,"Iowa","19","Emmet County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19063","Emmet County, Iowa",,,51563
"G1900650","2015-2019","IA",,,"Iowa","19","Fayette County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19065","Fayette County, Iowa",,,51128
"G1900670","2015-2019","IA",,,"Iowa","19","Floyd County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19067","Floyd County, Iowa",,,50406
"G1900690","2015-2019","IA",,,"Iowa","19","Franklin County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19069","Franklin County, Iowa",,,56419
"G1900710","2015-2019","IA",,,"Iowa","19","Fremont County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19071","Fremont County, Iowa",,,56750
"G1900730","2015-2019","IA",,,"Iowa","19","Greene County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19073","Greene County, Iowa",,,53050
"G1900750","2015-2019","IA",,,"Iowa","19","Grundy County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19075","Grundy County, Iowa",,,68038
"G1900770","2015-2019","IA",,,"Iowa","19","Guthrie County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19077","Guthrie County, Iowa",,,61161
"G1900790","2015-2019","IA",,,"Iowa","19","Hamilton County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19079","Hamilton County, Iowa",,,60910
"G1900810","2015-2019","IA",,,"Iowa","19","Hancock County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19081","Hancock County, Iowa",,,61761
"G1900830","2015-2019","IA",,,"Iowa","19","Hardin County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19083","Hardin County, Iowa",,,54196
"G1900850","2015-2019","IA",,,"Iowa","19","Harrison County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19085","Harrison County, Iowa",,,63854
"G1900870","2015-2019","IA",,,"Iowa","19","Henry County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19087","Henry County, Iowa",,,53501
"G1900890","2015-2019","IA",,,"Iowa","19","Howard County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19089","Howard County, Iowa",,,55060
"G1900910","2015-2019","IA",,,"Iowa","19","Humboldt County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19091","Humboldt County, Iowa",,,54575
"G1900930","2015-2019","IA",,,"Iowa","19","Ida County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19093","Ida County, Iowa",,,58427
"G1900950","2015-2019","IA",,,"Iowa","19","Iowa County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19095","Iowa County, Iowa",,,61443
"G1900970","2015-2019","IA",,,"Iowa","19","Jackson County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19097","Jackson County, Iowa",,,55967
"G1900990","2015-2019","IA",,,"Iowa","19","Jasper County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19099","Jasper County, Iowa",,,58952
"G1901010","2015-2019","IA",,,"Iowa","19","Jefferson County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19101","Jefferson County, Iowa",,,47708
"G1901030","2015-2019","IA",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19103","Johnson County, Iowa",,,62542
"G1901050","2015-2019","IA",,,"Iowa","19","Jones County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19105","Jones County, Iowa",,,57549
"G1901070","2015-2019","IA",,,"Iowa","19","Keokuk County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19107","Keokuk County, Iowa",,,52881
"G1901090","2015-2019","IA",,,"Iowa","19","Kossuth County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19109","Kossuth County, Iowa",,,56073
"G1901110","2015-2019","IA",,,"Iowa","19","Lee County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19111","Lee County, Iowa",,,49564
"G1901130","2015-2019","IA",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19113","Linn County, Iowa",,,64903
"G1901150","2015-2019","IA",,,"Iowa","19","Louisa County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19115","Louisa County, Iowa",,,56673
