GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ALWVE001,ALWVE002,ALWVE003,ALWVE004,ALWVE005,ALWVE006,ALWVE007,ALWVE008,NAME_M,ALWVM001,ALWVM002,ALWVM003,ALWVM004,ALWVM005,ALWVM006,ALWVM007,ALWVM008
"G0100010","2015-2019","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001",,,"Autauga County, Alabama",54922,3439,4901,2678,1818,2777,1422,37887,"Autauga County, Alabama",155,738,916,764,485,592,535,1392
"G0100030","2015-2019","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003",,,"Baldwin County, Alabama",209618,8483,13221,9048,7892,13337,7589,150048,"Baldwin County, Alabama",508,1431,1680,1539,1675,1733,1442,3237
"G0100050","2015-2019","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005",,,"Barbour County, Alabama",22417,3372,3503,1458,1294,2054,567,10169,"Barbour County, Alabama",344,509,585,385,330,481,221,628
"G0100070","2015-2019","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007",,,"Bibb County, Alabama",20632,1793,1947,908,1078,2230,771,11905,"Bibb County, Alabama",201,701,544,446,400,741,472,1110
"G0100090","2015-2019","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009",,,"Blount County, Alabama",57108,3726,4013,2985,3597,4741,1623,36423,"Blount County, Alabama",139,739,684,721,930,1088,527,1530
"G0100110","2015-2019","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011",,,"Bullock County, Alabama",9784,1366,1459,282,537,1052,111,4977,"Bullock County, Alabama",205,522,669,166,319,529,124,658
"G0100130","2015-2019","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013",,,"Butler County, Alabama",19540,1252,3145,1317,1407,1366,638,10415,"Butler County, Alabama",108,348,576,386,448,396,272,660
"G0100150","2015-2019","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015",,,"Calhoun County, Alabama",111542,8241,11728,6814,5593,8895,3112,67159,"Calhoun County, Alabama",404,859,1258,1021,812,1223,670,1898
"G0100170","2015-2019","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017",,,"Chambers County, Alabama",33103,2193,3518,2147,2014,3422,908,18901,"Chambers County, Alabama",177,480,665,486,497,649,278,962
"G0100190","2015-2019","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019",,,"Cherokee County, Alabama",25571,1136,2424,2438,1584,2220,792,14977,"Cherokee County, Alabama",95,317,536,652,489,627,265,846
"G0100210","2015-2019","AL",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021",,,"Chilton County, Alabama",43430,3122,5180,2874,2471,3793,882,25108,"Chilton County, Alabama",254,656,1081,706,710,978,297,1246
"G0100230","2015-2019","AL",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01023",,,"Choctaw County, Alabama",12712,1112,1856,611,866,1274,305,6688,"Choctaw County, Alabama",104,310,357,299,270,408,186,578
"G0100250","2015-2019","AL",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01025",,,"Clarke County, Alabama",23628,2844,2640,1228,1489,2154,458,12815,"Clarke County, Alabama",142,610,631,442,456,538,172,848
"G0100270","2015-2019","AL",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01027",,,"Clay County, Alabama",13049,665,1677,789,1203,956,524,7235,"Clay County, Alabama",89,243,397,410,459,378,251,669
"G0100290","2015-2019","AL",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01029",,,"Cleburne County, Alabama",14644,716,1815,631,794,1499,363,8826,"Cleburne County, Alabama",146,238,448,268,244,361,118,510
"G0100310","2015-2019","AL",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01031",,,"Coffee County, Alabama",50898,3262,4408,2139,2106,3906,1056,34021,"Coffee County, Alabama",147,535,620,479,461,587,246,872
"G0100330","2015-2019","AL",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01033",,,"Colbert County, Alabama",54248,3071,5319,1933,2989,4903,1768,34265,"Colbert County, Alabama",130,571,747,458,665,870,501,1116
"G0100350","2015-2019","AL",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01035",,,"Conecuh County, Alabama",12283,1271,890,725,1398,1453,782,5764,"Conecuh County, Alabama",120,426,366,257,549,518,495,613
"G0100370","2015-2019","AL",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01037",,,"Coosa County, Alabama",10353,498,901,706,724,775,405,6344,"Coosa County, Alabama",139,261,304,256,312,222,215,583
"G0100390","2015-2019","AL",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01039",,,"Covington County, Alabama",36348,3159,3597,1759,2318,3018,1289,21208,"Covington County, Alabama",190,497,567,320,565,510,294,981
"G0100410","2015-2019","AL",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01041",,,"Crenshaw County, Alabama",13623,811,1254,978,917,1239,277,8147,"Crenshaw County, Alabama",93,219,323,312,255,309,135,471
"G0100430","2015-2019","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01043",,,"Cullman County, Alabama",81597,5589,6544,3693,4428,7518,3424,50401,"Cullman County, Alabama",242,846,853,600,779,1309,1049,1719
"G0100450","2015-2019","AL",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01045",,,"Dale County, Alabama",47739,3894,4530,2502,3020,4042,1772,27979,"Dale County, Alabama",357,772,809,523,608,703,420,1436
"G0100470","2015-2019","AL",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01047",,,"Dallas County, Alabama",38546,4879,6325,2701,1895,3416,1723,17607,"Dallas County, Alabama",173,838,1061,601,464,615,631,957
"G0100490","2015-2019","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01049",,,"DeKalb County, Alabama",70355,5754,9079,5242,5854,5721,2503,36202,"DeKalb County, Alabama",196,1169,1260,1039,1032,801,574,1521
"G0100510","2015-2019","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01051",,,"Elmore County, Alabama",76637,3258,5562,3514,2478,5001,1080,55744,"Elmore County, Alabama",336,796,1110,987,598,1048,437,1856
"G0100530","2015-2019","AL",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01053",,,"Escambia County, Alabama",34089,3929,3622,2258,2286,2942,1072,17980,"Escambia County, Alabama",324,774,680,531,640,638,336,1015
"G0100550","2015-2019","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01055",,,"Etowah County, Alabama",101346,6338,11287,5977,4876,8203,2726,61939,"Etowah County, Alabama",267,769,1085,1107,712,996,653,1756
"G0100570","2015-2019","AL",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01057",,,"Fayette County, Alabama",16182,1507,1639,1003,1078,1595,477,8883,"Fayette County, Alabama",104,390,363,311,288,402,240,772
"G0100590","2015-2019","AL",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01059",,,"Franklin County, Alabama",30947,1986,4021,1275,2053,2673,1729,17210,"Franklin County, Alabama",209,503,932,308,507,696,622,982
"G0100610","2015-2019","AL",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01061",,,"Geneva County, Alabama",26092,1830,3913,1747,1083,1873,498,15148,"Geneva County, Alabama",70,398,656,436,240,410,160,938
"G0100630","2015-2019","AL",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01063",,,"Greene County, Alabama",8242,1718,1422,808,550,658,170,2916,"Greene County, Alabama",52,428,377,394,298,345,119,397
"G0100650","2015-2019","AL",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01065",,,"Hale County, Alabama",14565,1432,2090,1172,898,1422,270,7281,"Hale County, Alabama",118,424,429,416,320,438,165,587
"G0100670","2015-2019","AL",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01067",,,"Henry County, Alabama",16752,1094,1222,997,1035,1289,790,10325,"Henry County, Alabama",99,285,280,326,298,323,282,579
"G0100690","2015-2019","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01069",,,"Houston County, Alabama",103568,7742,11143,5515,5871,7550,2932,62815,"Houston County, Alabama",294,509,724,505,700,555,310,1013
"G0100710","2015-2019","AL",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01071",,,"Jackson County, Alabama",51312,3772,5764,4003,3129,4520,1402,28722,"Jackson County, Alabama",172,722,1027,699,600,849,415,1305
"G0100730","2015-2019","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01073",,,"Jefferson County, Alabama",645406,44711,58706,33846,27691,42058,14299,424095,"Jefferson County, Alabama",651,2593,2983,2586,2127,2840,1505,4043
"G0100750","2015-2019","AL",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01075",,,"Lamar County, Alabama",13692,1073,1754,791,933,1334,252,7555,"Lamar County, Alabama",69,347,502,310,338,347,134,663
"G0100770","2015-2019","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01077",,,"Lauderdale County, Alabama",90346,5184,7991,4435,5125,7007,2765,57839,"Lauderdale County, Alabama",309,707,995,721,988,1041,597,1856
"G0100790","2015-2019","AL",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01079",,,"Lawrence County, Alabama",32753,2383,3523,1877,1561,2356,661,20392,"Lawrence County, Alabama",154,557,630,545,338,643,220,1064
"G0100810","2015-2019","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01081",,,"Lee County, Alabama",155265,17271,13152,7491,6573,10894,4308,95576,"Lee County, Alabama",523,1542,1351,1415,1336,1921,1022,2669
"G0100830","2015-2019","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01083",,,"Limestone County, Alabama",91626,5227,7209,3711,3826,5848,2556,63249,"Limestone County, Alabama",441,969,1100,780,820,1197,674,1702
"G0100850","2015-2019","AL",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01085",,,"Lowndes County, Alabama",9936,1346,1318,1017,596,1060,153,4446,"Lowndes County, Alabama",116,309,299,314,208,347,76,408
"G0100870","2015-2019","AL",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01087",,,"Macon County, Alabama",16359,2182,1813,1132,1099,995,769,8369,"Macon County, Alabama",265,462,334,271,324,207,243,557
"G0100890","2015-2019","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01089",,,"Madison County, Alabama",352884,19452,24586,13221,11920,19607,7235,256863,"Madison County, Alabama",645,2084,2043,1258,1736,1607,1455,3167
"G0100910","2015-2019","AL",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01091",,,"Marengo County, Alabama",19056,1538,2636,1044,1418,1498,876,10046,"Marengo County, Alabama",100,498,598,285,618,578,355,884
"G0100930","2015-2019","AL",,,"Alabama","01","Marion County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01093",,,"Marion County, Alabama",29386,1640,3497,1786,2058,3097,1475,15833,"Marion County, Alabama",212,425,652,380,739,744,469,1175
"G0100950","2015-2019","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01095",,,"Marshall County, Alabama",94283,8395,10752,4814,5554,7128,3521,54119,"Marshall County, Alabama",255,1196,1477,830,954,1045,706,1550
"G0100970","2015-2019","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01097",,,"Mobile County, Alabama",406137,36756,39519,20831,21298,28980,12319,246434,"Mobile County, Alabama",929,2717,2490,2000,1796,2462,1470,4101
"G0100990","2015-2019","AL",,,"Alabama","01","Monroe County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01099",,,"Monroe County, Alabama",21004,3424,2445,881,1469,1470,908,10407,"Monroe County, Alabama",123,698,517,308,795,407,415,856
"G0101010","2015-2019","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01101",,,"Montgomery County, Alabama",219309,20300,22142,12179,11153,13301,5928,134306,"Montgomery County, Alabama",637,1854,1887,1261,1476,1428,1041,2769
"G0101030","2015-2019","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01103",,,"Morgan County, Alabama",117005,6244,10882,6341,5912,9073,3035,75518,"Morgan County, Alabama",439,898,1251,998,1037,1343,634,2201
"G0101050","2015-2019","AL",,,"Alabama","01","Perry County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01105",,,"Perry County, Alabama",8468,850,1762,1037,832,603,371,3013,"Perry County, Alabama",201,374,564,646,419,328,323,717
"G0101070","2015-2019","AL",,,"Alabama","01","Pickens County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01107",,,"Pickens County, Alabama",18506,1409,2795,1221,1018,1266,568,10229,"Pickens County, Alabama",221,365,591,322,309,339,240,597
"G0101090","2015-2019","AL",,,"Alabama","01","Pike County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01109",,,"Pike County, Alabama",31521,4394,3307,1589,993,3206,732,17300,"Pike County, Alabama",267,750,621,417,238,644,322,973
"G0101110","2015-2019","AL",,,"Alabama","01","Randolph County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01111",,,"Randolph County, Alabama",22139,1867,1881,1279,819,2446,902,12945,"Randolph County, Alabama",137,356,383,327,260,561,304,798
"G0101130","2015-2019","AL",,,"Alabama","01","Russell County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01113",,,"Russell County, Alabama",56885,6933,4842,3158,2636,4278,2233,32805,"Russell County, Alabama",370,1094,829,666,536,1069,584,1480
"G0101150","2015-2019","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01115",,,"St. Clair County, Alabama",85875,3981,6503,4697,3072,5980,2318,59324,"St. Clair County, Alabama",256,754,1023,1023,770,1192,675,1912
"G0101170","2015-2019","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01117",,,"Shelby County, Alabama",210328,6983,8759,5392,6252,10669,4092,168181,"Shelby County, Alabama",368,1102,1327,941,1023,1153,899,1949
"G0101190","2015-2019","AL",,,"Alabama","01","Sumter County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01119",,,"Sumter County, Alabama",11907,1830,1952,810,737,830,770,4978,"Sumter County, Alabama",181,518,478,408,291,345,353,802
"G0101210","2015-2019","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01121",,,"Talladega County, Alabama",76886,6444,8209,5455,4393,7552,1825,43008,"Talladega County, Alabama",462,938,1082,879,1036,1360,516,1803
"G0101230","2015-2019","AL",,,"Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01123",,,"Tallapoosa County, Alabama",39978,3632,3914,2522,2203,3745,1058,22904,"Tallapoosa County, Alabama",186,466,692,770,574,753,351,1005
"G0101250","2015-2019","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01125",,,"Tuscaloosa County, Alabama",196790,17554,17195,9103,8772,14519,5025,124622,"Tuscaloosa County, Alabama",673,1407,1907,1157,1238,1845,1038,2789
"G0101270","2015-2019","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01127",,,"Walker County, Alabama",63036,4965,6475,4877,3045,5001,2172,36501,"Walker County, Alabama",247,570,835,924,619,771,531,1230
"G0101290","2015-2019","AL",,,"Alabama","01","Washington County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01129",,,"Washington County, Alabama",16342,1342,2109,1441,697,1254,350,9149,"Washington County, Alabama",102,389,567,600,327,478,190,747
"G0101310","2015-2019","AL",,,"Alabama","01","Wilcox County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01131",,,"Wilcox County, Alabama",10352,1130,1981,1119,589,833,337,4363,"Wilcox County, Alabama",130,276,402,482,216,301,173,461
"G0101330","2015-2019","AL",,,"Alabama","01","Winston County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01133",,,"Winston County, Alabama",23406,1629,2498,1493,2450,2535,512,12289,"Winston County, Alabama",138,385,516,436,554,508,205,687
"G0200130","2015-2019","AK",,,"Alaska","02","Aleutians East Borough","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02013",,,"Aleutians East Borough, Alaska",3378,151,314,176,138,292,95,2212,"Aleutians East Borough, Alaska",9,38,81,56,56,64,40,119
"G0200160","2015-2019","AK",,,"Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02016",,,"Aleutians West Census Area, Alaska",5454,120,253,139,195,377,187,4183,"Aleutians West Census Area, Alaska",150,41,60,47,59,94,54,185
"G0200200","2015-2019","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02020",,,"Anchorage Municipality, Alaska",286504,11270,14591,7735,9657,12085,5563,225603,"Anchorage Municipality, Alaska",498,1167,1707,1216,1793,1505,967,2846
"G0200500","2015-2019","AK",,,"Alaska","02","Bethel Census Area","050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02050",,,"Bethel Census Area, Alaska",17622,2072,2908,1748,1216,1472,598,7608,"Bethel Census Area, Alaska",201,273,324,397,167,211,108,490
"G0200600","2015-2019","AK",,,"Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02060",,,"Bristol Bay Borough, Alaska",850,37,24,34,23,47,19,666,"Bristol Bay Borough, Alaska",80,16,14,13,15,19,17,77
"G0200680","2015-2019","AK",,,"Alaska","02","Denali Borough","068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02068",,,"Denali Borough, Alaska",2170,247,107,140,13,211,49,1403,"Denali Borough, Alaska",390,187,82,191,7,168,56,241
"G0200700","2015-2019","AK",,,"Alaska","02","Dillingham Census Area","070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02070",,,"Dillingham Census Area, Alaska",4908,394,449,255,413,591,202,2604,"Dillingham Census Area, Alaska",21,88,75,75,108,139,64,184
"G0200900","2015-2019","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02090",,,"Fairbanks North Star Borough, Alaska",94778,3997,3578,2843,3257,5643,1814,73646,"Fairbanks North Star Borough, Alaska",398,957,865,594,807,1079,597,2184
"G0201000","2015-2019","AK",,,"Alaska","02","Haines Borough","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02100",,,"Haines Borough, Alaska",2470,159,119,137,106,106,20,1823,"Haines Borough, Alaska",33,145,89,113,74,74,23,232
"G0201050","2015-2019","AK",,,"Alaska","02","Hoonah-Angoon Census Area","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02105",,,"Hoonah-Angoon Census Area, Alaska",2138,75,146,159,108,161,48,1441,"Hoonah-Angoon Census Area, Alaska",2,29,46,60,41,68,27,102
"G0201100","2015-2019","AK",,,"Alaska","02","Juneau City and Borough","110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02110",,,"Juneau City and Borough, Alaska",31783,1206,1234,579,906,831,582,26445,"Juneau City and Borough, Alaska",88,374,457,240,355,237,274,691
"G0201220","2015-2019","AK",,,"Alaska","02","Kenai Peninsula Borough","122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02122",,,"Kenai Peninsula Borough, Alaska",57233,2919,3994,2604,2381,3312,1651,40372,"Kenai Peninsula Borough, Alaska",191,482,704,567,640,558,538,1231
"G0201300","2015-2019","AK",,,"Alaska","02","Ketchikan Gateway Borough","130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02130",,,"Ketchikan Gateway Borough, Alaska",13617,719,585,373,625,621,435,10259,"Ketchikan Gateway Borough, Alaska",46,168,115,100,183,153,138,284
"G0201500","2015-2019","AK",,,"Alaska","02","Kodiak Island Borough","150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02150",,,"Kodiak Island Borough, Alaska",13195,448,581,286,285,1267,225,10103,"Kodiak Island Borough, Alaska",85,184,230,126,148,473,153,613
"G0201580","2015-2019","AK",,,"Alaska","02","Kusilvak Census Area","158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02158",,,"Kusilvak Census Area, Alaska",8190,1450,1745,982,844,642,233,2294,"Kusilvak Census Area, Alaska",27,168,180,131,155,125,73,148
"G0201640","2015-2019","AK",,,"Alaska","02","Lake and Peninsula Borough","164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02164",,,"Lake and Peninsula Borough, Alaska",1384,94,135,135,119,87,28,786,"Lake and Peninsula Borough, Alaska",364,38,47,57,47,33,16,225
"G0201700","2015-2019","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02170",,,"Matanuska-Susitna Borough, Alaska",103218,5424,5200,3359,3162,5540,2443,78090,"Matanuska-Susitna Borough, Alaska",473,448,619,482,439,627,514,1106
"G0201800","2015-2019","AK",,,"Alaska","02","Nome Census Area","180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02180",,,"Nome Census Area, Alaska",9653,884,1196,554,704,882,217,5216,"Nome Census Area, Alaska",89,114,126,110,154,154,46,275
"G0201850","2015-2019","AK",,,"Alaska","02","North Slope Borough","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02185",,,"North Slope Borough, Alaska",9689,499,484,265,408,585,164,7284,"North Slope Borough, Alaska",91,189,169,104,217,152,51,318
"G0201880","2015-2019","AK",,,"Alaska","02","Northwest Arctic Borough","188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02188",,,"Northwest Arctic Borough, Alaska",7641,885,1110,496,473,763,170,3744,"Northwest Arctic Borough, Alaska",31,170,193,163,95,155,55,281
"G0201950","2015-2019","AK",,,"Alaska","02","Petersburg Borough","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02195",,,"Petersburg Borough, Alaska",3244,67,119,74,128,174,63,2619,"Petersburg Borough, Alaska",10,34,44,27,40,84,43,122
"G0201980","2015-2019","AK",,,"Alaska","02","Prince of Wales-Hyder Census Area","198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02198",,,"Prince of Wales-Hyder Census Area, Alaska",6348,410,688,394,303,353,212,3988,"Prince of Wales-Hyder Census Area, Alaska",26,77,115,95,72,77,69,195
"G0202200","2015-2019","AK",,,"Alaska","02","Sitka City and Borough","220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02220",,,"Sitka City and Borough, Alaska",8438,320,411,327,271,225,275,6609,"Sitka City and Borough, Alaska",55,89,112,163,96,88,146,266
"G0202300","2015-2019","AK",,,"Alaska","02","Skagway Municipality","230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02230",,,"Skagway Municipality, Alaska",1098,30,40,61,27,44,28,868,"Skagway Municipality, Alaska",103,16,16,66,15,19,17,110
"G0202400","2015-2019","AK",,,"Alaska","02","Southeast Fairbanks Census Area","240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02240",,,"Southeast Fairbanks Census Area, Alaska",6784,467,270,304,301,419,133,4890,"Southeast Fairbanks Census Area, Alaska",59,165,75,127,126,181,68,280
"G0202610","2015-2019","AK",,,"Alaska","02","Valdez-Cordova Census Area","261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02261",,,"Valdez-Cordova Census Area, Alaska",9131,497,217,112,251,745,210,7099,"Valdez-Cordova Census Area, Alaska",55,245,90,61,135,315,140,476
"G0202750","2015-2019","AK",,,"Alaska","02","Wrangell City and Borough","275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02275",,,"Wrangell City and Borough, Alaska",2478,135,59,123,114,324,97,1626,"Wrangell City and Borough, Alaska",14,55,33,62,50,121,64,145
"G0202820","2015-2019","AK",,,"Alaska","02","Yakutat City and Borough","282",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02282",,,"Yakutat City and Borough, Alaska",649,27,21,54,20,80,29,418,"Yakutat City and Borough, Alaska",89,21,22,35,13,50,17,55
"G0202900","2015-2019","AK",,,"Alaska","02","Yukon-Koyukuk Census Area","290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02290",,,"Yukon-Koyukuk Census Area, Alaska",5331,670,682,246,347,468,166,2752,"Yukon-Koyukuk Census Area, Alaska",33,96,80,50,56,105,41,149
"G0400010","2015-2019","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04001",,,"Apache County, Arizona",70403,13965,10998,4977,4496,5294,2911,27762,"Apache County, Arizona",165,811,993,687,724,604,563,1337
"G0400030","2015-2019","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04003",,,"Cochise County, Arizona",117255,7450,12026,7875,6765,10013,3692,69434,"Cochise County, Arizona",1094,1150,1364,1066,1088,1334,750,1945
